1,283,65,2.95,17.33,8.93
2,643,1987,0.15,147.28,11.33
3,712,2008,0.19,148.6,12.92
4,705,1962,0.18,148.09,10.15
5,819,1715,0.28,139.47,31.2
6,295,83,2.43,11.52,30.57
7,652,1958,0.16,153.93,19.57
8,717,1942,0.18,145.31,22.36
9,124,137,0.18,14.88,8.25
10,193,144,0.64,16.29,7.26
11,88,140,-0.17,17.35,23.94
12,706,313,1.85,29.03,6.74
13,647,2011,0.16,165.57,10.63
14,172,221,0.2,22.44,6.68
15,722,700,0.74,60.4,8.3
16,242,115,1.17,12.34,5.67
17,794,758,0.81,60.27,7.01
18,228,110,1.17,14.81,6.6
19,307,212,0.86,19.77,6.36
20,270,58,3.03,9.9,5.35
21,251,116,1.3,12.87,6.89
22,1407,1944,0.55,149.63,6.53
23,237,213,0.54,21.96,6.02
24,276,72,2.44,12.31,5.33
25,687,580,0.92,48.61,6.88
26,171,94,0.72,12.49,5.38
27,709,200,2.97,20.7,5.77
28,824,421,1.62,38.62,6.65
29,898,1972,0.29,148.71,6.75
30,1107,833,1.1,66.34,8.98
31,287,80,2.41,11.68,5.71
32,854,459,1.58,41.0,16.44
33,680,111,5.25,14.94,6.6
34,1086,1764,0.41,130.45,15.46
35,237,110,1.22,12.5,5.21
36,821,1393,0.37,112.83,7.59
37,312,51,4.23,6.9,6.45
38,266,67,2.52,9.79,5.73
39,669,183,3.05,20.43,5.15
40,895,1538,0.33,115.04,7.14
41,803,1005,0.57,75.28,6.56
42,1106,1971,0.35,147.92,8.18
43,263,49,3.46,8.27,203.91
44,300,113,1.69,13.23,16.62
45,238,155,0.85,16.88,74.16
46,722,176,3.53,18.6,15.13
47,826,1547,0.29,127.37,54.49
48,262,63,2.58,9.42,5.2
49,271,67,2.57,10.65,3.97
50,293,54,3.56,7.61,4.64
51,245,89,1.65,13.26,9.54
52,300,87,2.33,10.14,9.14
53,270,70,2.5,9.51,5.35
54,837,393,1.78,33.99,7.7
55,315,66,3.36,10.15,5.91
56,1153,1286,0.68,100.05,7.18
57,306,48,4.39,8.38,8.96
58,252,63,2.49,10.33,6.25
59,176,123,0.62,13.91,12.71
60,280,120,1.4,15.25,6.71
61,310,40,5.34,8.55,4.51
62,2672,1204,-0.21,96.44,43.1
63,1413,952,1.22,76.48,14.42
64,700,152,3.97,15.66,5.88
65,691,242,2.31,23.24,4.97
66,296,96,2.06,11.09,6.55
67,669,108,5.33,14.3,4.91
68,896,1329,0.41,102.67,5.47
69,292,38,5.08,9.05,4.26
70,677,492,1.03,47.68,27.52
71,249,100,1.46,12.46,4.6
72,278,46,4.03,9.03,6.73
73,684,138,4.26,15.37,4.5
74,878,288,2.64,30.6,14.99
75,251,96,1.52,14.63,4.95
76,1597,1509,0.81,124.8,21.25
77,256,61,2.57,10.45,21.57
78,251,64,2.4,11.87,8.0
79,275,47,3.8,8.77,3.86
80,302,38,5.57,8.95,4.45
81,288,103,1.87,13.27,4.3
82,267,63,2.76,9.73,3.71
83,268,48,3.65,9.46,4.06
84,898,1642,0.27,126.97,4.88
85,298,39,5.13,8.49,4.37
86,898,1965,0.17,171.09,4.51
87,705,244,2.42,25.92,5.01
88,1437,711,1.72,62.55,7.2
89,823,1121,0.45,96.74,10.51
90,819,721,0.82,67.24,5.67
91,897,1982,0.22,159.96,5.26
92,677,131,4.44,17.36,3.45
93,281,46,4.07,8.9,3.74
94,302,53,3.99,10.25,29.61
95,306,110,1.9,15.18,72.19
96,296,42,4.85,8.36,3.63
97,256,78,2.02,10.9,6.17
98,277,63,2.9,11.58,3.47
99,722,1972,0.12,169.51,9.97
100,1152,1829,0.32,158.41,4.91
101,308,29,7.29,7.24,4.01
102,292,71,2.68,11.92,2.79
103,246,62,2.38,9.9,3.15
104,258,53,3.07,9.97,4.09
105,302,61,3.34,10.88,2.96
106,250,57,2.68,9.67,2.85
107,832,667,0.9,58.35,6.36
108,297,37,5.42,8.5,3.74
109,800,880,0.52,77.33,13.3
110,715,2000,0.06,154.28,3.83
111,1441,327,3.98,34.11,4.81
112,309,28,7.54,7.65,3.82
113,830,943,0.53,79.99,3.38
114,302,43,4.73,8.82,3.01
115,301,66,3.13,10.53,21.81
116,895,508,1.38,47.17,3.78
117,292,56,3.58,9.99,3.29
118,845,290,2.45,28.17,2.94
119,304,35,5.89,8.57,3.48
120,687,182,3.1,20.8,2.9
121,294,44,4.44,8.3,3.27
122,310,31,6.89,7.19,3.62
123,303,32,6.64,9.16,3.49
124,714,2000,0.06,166.47,2.47
125,304,35,6.06,8.34,3.42
126,308,30,7.0,8.59,3.75
127,298,48,4.28,10.54,2.99
128,898,1745,0.16,151.49,2.54
129,679,79,7.34,12.39,3.29
130,311,32,6.73,8.58,3.78
131,311,40,5.35,8.83,3.52
132,310,29,7.31,7.56,3.57
133,313,34,6.32,8.02,3.41
134,792,902,0.49,76.31,3.05
135,305,39,5.28,9.01,3.24
136,301,46,4.52,9.55,2.96
137,847,506,1.25,48.98,2.09
138,315,28,7.75,8.52,3.63
139,297,50,4.14,10.19,2.95
140,699,157,3.7,18.42,2.61
141,722,159,3.77,20.0,2.3
142,285,44,4.25,9.97,3.09
143,818,1375,0.18,121.87,1.45
144,309,29,7.4,8.3,3.53
145,877,2000,0.08,181.32,2.14
146,305,31,6.87,8.31,3.55
147,836,1094,0.41,105.77,3.24
148,311,29,7.53,7.58,3.63
149,684,308,1.7,25.74,2.14
150,1141,1324,0.47,118.09,2.49
151,315,28,8.02,7.83,3.67
152,312,32,6.86,8.83,3.31
153,298,34,5.88,8.54,3.41
154,312,38,5.86,8.57,3.07
155,683,89,6.6,13.69,3.21
156,310,29,7.34,7.68,3.38
157,709,98,6.22,13.4,2.8
158,706,382,1.37,41.49,2.07
159,311,30,7.1,8.18,3.51
160,304,32,6.61,8.19,3.15
161,693,91,6.52,12.33,3.09
162,307,30,7.02,7.97,3.47
163,304,47,4.48,9.97,2.61
164,283,41,4.65,8.81,2.51
165,694,214,2.6,23.81,1.97
166,313,32,6.91,7.79,3.23
167,310,28,7.61,7.83,3.6
168,691,111,5.25,14.44,2.44
169,309,31,6.97,8.17,3.23
170,713,1965,-0.03,189.24,1.52
171,313,28,7.95,8.33,3.4
172,695,96,6.25,12.13,2.89
173,301,35,5.83,9.04,3.08
174,294,36,5.39,8.7,2.69
175,792,1560,0.08,144.23,1.6
176,898,649,0.91,63.28,1.75
177,300,33,6.3,8.14,3.18
178,312,33,6.73,8.83,3.13
179,315,29,7.53,8.22,3.38
180,314,37,6.0,8.49,3.02
181,309,28,7.75,8.92,3.32
182,307,29,7.21,8.13,3.27
183,300,40,5.2,8.22,2.75
184,301,33,6.33,8.57,3.32
185,315,28,8.02,7.85,3.25
186,310,37,5.77,8.67,2.84
187,310,28,7.61,7.6,3.36
188,315,28,7.96,7.61,3.33
